removed_input_metric,heldout_mse,mse_increase,pct_increase,ci_low,ci_high,p,p_fdr
Relevance,0.0482,0.0127,35.8206,0.0028,0.0234,0.0084,0.0929
Hapax,0.0386,0.0031,8.8511,-0.0009,0.0076,0.3322,0.9124
Specificity,0.038,0.0025,7.0691,-0.0019,0.0071,0.425,0.9124
Coherence,0.0366,0.0011,3.0488,-0.0014,0.0036,0.7207,0.9124
Concise,0.0366,0.0011,3.0036,-0.0018,0.0042,0.8933,0.9124
Length,0.0361,0.0006,1.6314,-0.0041,0.0052,0.9124,0.9124
Readability,0.0357,0.0002,0.4796,-0.0023,0.0025,0.69,0.9124
Zipf,0.0355,-0.0,-0.0632,-0.0019,0.0019,0.8879,0.9124
Entropy,0.0348,-0.0007,-2.0472,-0.0042,0.0022,0.85,0.9124
Perplexity,0.0338,-0.0017,-4.8583,-0.0045,0.001,0.0559,0.3075
Engagement,0.0325,-0.003,-8.3204,-0.0057,-0.0003,0.4073,0.9124
