scope,comparison,n,distance_own,distance_other,other_minus_own,ci_low,ci_high,p,p_fdr
All models,own targets vs shuffled targets,2999,0.4224,0.4231,0.0007,-0.0014,0.0027,0.0,0.0
All models,own targets vs constant mean target,2999,0.4224,0.3759,-0.0466,-0.05,-0.0431,0.0,0.0
gemma2_2b,own targets vs shuffled targets,500,0.4024,0.4043,0.0019,-0.003,0.0072,0.0951,0.0951
gemma2_2b,own targets vs constant mean target,500,0.4024,0.3537,-0.0487,-0.0577,-0.0395,0.0,0.0
llama3.2_1b,own targets vs shuffled targets,500,0.4568,0.4576,0.0008,-0.0044,0.0061,0.0476,0.0556
llama3.2_1b,own targets vs constant mean target,500,0.4568,0.4136,-0.0431,-0.0512,-0.035,0.0,0.0
mistral_7b,own targets vs shuffled targets,500,0.4426,0.4431,0.0005,-0.0049,0.0057,0.0235,0.03
mistral_7b,own targets vs constant mean target,500,0.4426,0.3966,-0.046,-0.0543,-0.0377,0.0,0.0
openchat_7b,own targets vs shuffled targets,500,0.409,0.4095,0.0006,-0.0046,0.0057,0.0224,0.03
openchat_7b,own targets vs constant mean target,500,0.409,0.3561,-0.0528,-0.0615,-0.0441,0.0,0.0
phi3_mini,own targets vs shuffled targets,499,0.4195,0.419,-0.0006,-0.0058,0.0045,0.0135,0.0211
phi3_mini,own targets vs constant mean target,499,0.4195,0.383,-0.0366,-0.0451,-0.0276,0.0,0.0
qwen2_1.5b,own targets vs shuffled targets,500,0.4043,0.405,0.0007,-0.0041,0.0058,0.0581,0.0626
qwen2_1.5b,own targets vs constant mean target,500,0.4043,0.3522,-0.0521,-0.0606,-0.0437,0.0,0.0
