metric,n,scot_distance,mgcot_distance,reduction,ci_low,ci_high,p,p_fdr
Readability,2999,0.0389,0.0395,-0.0006,-0.0015,0.0,0.5,0.5
Coherence,2999,0.7566,0.7044,0.0522,0.0467,0.0578,0.0,0.0
Relevance,2999,0.3876,0.3829,0.0047,0.0006,0.0087,0.161,0.1771
Specificity,2999,0.3402,0.4403,-0.1001,-0.1083,-0.092,0.0,0.0
Engagement,2999,0.1849,0.1605,0.0245,0.0137,0.0354,0.0,0.0
Concise,2999,0.6652,0.6207,0.0445,0.0397,0.0492,0.0,0.0
Length,2999,0.2206,0.1685,0.052,0.0475,0.0565,0.0,0.0
Zipf,2999,0.3086,0.3143,-0.0058,-0.01,-0.0016,0.0001,0.0001
Hapax,2999,0.3218,0.4079,-0.0861,-0.0958,-0.0762,0.0,0.0
Entropy,2999,0.7877,0.7296,0.0582,0.0516,0.0651,0.0,0.0
Perplexity,2999,0.7451,0.6782,0.0669,0.057,0.0768,0.0,0.0
