model,mechanism,rows,empty_answer_rate,truncated_rate,answer_extracted_rate,metric_leak_rate,mean_delta_s
deepseek-r1_8b,MGCoT,500,0.972,0.98,0.026,0.0,154.977
deepseek-r1_8b,SCoT,500,0.978,1.0,0.012,0.0,153.508
gemma2_2b,MGCoT,500,0.0,0.132,0.664,0.096,60.346
gemma2_2b,SCoT,500,0.0,0.292,0.688,0.0,118.503
llama3.2_1b,MGCoT,500,0.0,0.844,0.46,0.856,131.359
llama3.2_1b,SCoT,500,0.0,0.264,0.682,0.0,115.164
mistral_7b,MGCoT,500,0.0,0.704,0.722,0.782,135.079
mistral_7b,SCoT,500,0.0,0.194,0.666,0.0,104.446
openchat_7b,MGCoT,500,0.0,0.09,0.668,0.038,62.68
openchat_7b,SCoT,500,0.0,0.142,0.676,0.0,105.795
phi3_mini,MGCoT,500,0.002,0.558,0.71,0.556,112.471
phi3_mini,SCoT,500,0.0,0.27,0.674,0.0,113.372
qwen2_1.5b,MGCoT,500,0.0,0.118,0.634,0.056,60.117
qwen2_1.5b,SCoT,500,0.0,0.122,0.65,0.0,67.802
