group,metric,higher_is_better,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant
aqua,accuracy,True,300,0.2833333333333333,0.2966666666666667,0.013333333333333334,-0.043333333333333335,0.06666666666666667,4.7058823529411775,0.7310088822226056,0.05263157894736842,36.0,40.0,MGCoT,0.8122320913584508,False
asdiv,accuracy,True,300,0.84,0.48333333333333334,-0.3566666666666667,-0.42,-0.29333333333333333,-42.46031746031747,1.9751293229358004e-22,-0.7925925925925926,121.0,14.0,SCoT,1.9751293229358005e-21,True
clutrr,accuracy,True,300,0.37666666666666665,0.3466666666666667,-0.03,-0.09333333333333334,0.03666666666666667,-7.964601769911504,0.4261600154669939,-0.0891089108910891,55.0,46.0,SCoT,0.7102666924449897,False
date,accuracy,True,300,0.25666666666666665,0.24333333333333335,-0.013333333333333334,-0.06333333333333334,0.03666666666666667,-5.194805194805196,0.6888797607233395,-0.07142857142857142,30.0,26.0,SCoT,0.8122320913584508,False
gsm8k,accuracy,True,300,0.44333333333333336,0.3566666666666667,-0.08666666666666667,-0.15,-0.023333333333333334,-19.54887218045113,0.009547810466077417,-0.2765957446808511,60.0,34.0,SCoT,0.019095620932154833,True
MultiArith,accuracy,True,300,0.88,0.5866666666666667,-0.29333333333333333,-0.3566666666666667,-0.23,-33.33333333333333,2.5388391153940443e-17,-0.7457627118644068,103.0,15.0,SCoT,1.2694195576970223e-16,True
QASports,accuracy,True,300,0.15,0.06666666666666667,-0.08333333333333333,-0.13,-0.03666666666666667,-55.55555555555555,0.0008023308868949641,-0.4716981132075472,39.0,14.0,SCoT,0.0020058272172374103,True
saycan,accuracy,True,300,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,1.0,False
StrategyQA,accuracy,True,300,0.2,0.18,-0.02,-0.08,0.03666666666666667,-10.0,0.581114454176647,-0.07317073170731707,44.0,38.0,SCoT,0.8122320913584508,False
SVAMP,accuracy,True,300,0.63,0.4266666666666667,-0.20333333333333334,-0.26666666666666666,-0.14333333333333334,-32.27513227513227,4.3940278290894227e-10,-0.6161616161616161,80.0,19.0,SCoT,1.4646759430298076e-09,True
aqua,answered,True,300,0.51,0.53,0.02,-0.04666666666666667,0.09,3.9215686274509802,0.6207676687971155,0.058823529411764705,48.0,54.0,MGCoT,1.0,False
asdiv,answered,True,300,1.0,0.9966666666666667,-0.0033333333333333335,-0.01,0.0,-0.33333333333333337,1.0,-1.0,1.0,0.0,SCoT,1.0,False
clutrr,answered,True,300,0.96,0.84,-0.12,-0.16666666666666666,-0.07666666666666666,-12.5,4.0393217393130953e-07,-0.6923076923076923,44.0,8.0,SCoT,4.039321739313095e-06,True
date,answered,True,300,0.73,0.6066666666666667,-0.12333333333333334,-0.18666666666666668,-0.06333333333333334,-16.894977168949772,0.00018640192629177998,-0.3894736842105263,66.0,29.0,SCoT,0.0009320096314588998,True
gsm8k,answered,True,300,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,False
MultiArith,answered,True,300,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,False
QASports,answered,True,300,0.25,0.18,-0.07,-0.13333333333333333,-0.006666666666666667,-28.000000000000004,0.03960823767054588,-0.22105263157894736,58.0,37.0,SCoT,0.1320274589018196,False
saycan,answered,True,300,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,1.0,False
StrategyQA,answered,True,300,0.27666666666666667,0.28,0.0033333333333333335,-0.06666666666666667,0.07333333333333333,1.2048192771084338,1.0,0.008849557522123894,56.0,57.0,MGCoT,1.0,False
SVAMP,answered,True,300,1.0,0.9966666666666667,-0.0033333333333333335,-0.01,0.0,-0.33333333333333337,1.0,-1.0,1.0,0.0,SCoT,1.0,False
aqua,bert_score_f1,True,300,0.7587419625123342,0.7587881795565288,4.621704419453939e-05,-0.006041679119070371,0.003991022457679113,0.0060912729858127596,0.06683944725740462,0.12208194905869324,,,MGCoT,0.07426605250822736,False
asdiv,bert_score_f1,True,300,0.776867798169454,0.7857214162747065,0.008853618105252583,0.006539081667860349,0.01116302014390627,1.1396556951021146,2.4095657142420917e-10,0.4239486588479877,,,MGCoT,6.023914285605229e-10,True
clutrr,bert_score_f1,True,300,0.8107410977284114,0.8170086705684662,0.00626757284005483,0.0033827620993057885,0.009269460543990134,0.7730671181732041,0.00046581196592989857,0.23668973308854682,,,MGCoT,0.0005822649574123732,True
date,bert_score_f1,True,300,0.7863154021898905,0.8217825414737066,0.03546713928381602,0.02811979686220487,0.04302504297594229,4.510548716843132,1.768871756336866e-15,0.5308807134894091,,,MGCoT,8.84435878168433e-15,True
gsm8k,bert_score_f1,True,300,0.8406639558076858,0.8364108951886495,-0.004253060619036356,-0.008365473041931788,-0.00027792016168435777,-0.5059168517520342,0.8035838440101605,0.016566998892580287,,,SCoT,0.8035838440101605,False
MultiArith,bert_score_f1,True,300,0.7565135371685028,0.7636633461713791,0.007149809002876282,0.005071374515692393,0.00925003011524677,0.9450999422477965,1.761693707273626e-09,0.4015607580824972,,,MGCoT,3.5233874145472525e-09,True
QASports,bert_score_f1,True,300,0.762920492887497,0.7764829576015473,0.013562464714050293,0.010993513017892836,0.01616198046505451,1.7777035537109716,4.51186149986783e-19,0.595406911928651,,,MGCoT,4.51186149986783e-18,True
saycan,bert_score_f1,True,300,0.782201625307401,0.7758924208084742,-0.006309204498926799,-0.007980641106764474,-0.004616013536850612,-0.8065956774824287,3.896778964836341e-12,-0.47350210764844913,,,SCoT,1.2989263216121136e-11,True
