group,metric,higher_is_better,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant
gemma2_2b,accuracy,True,400,0.5,0.435,-0.065,-0.1125,-0.0175,-13.0,0.010345913082728777,-0.2708333333333333,61.0,35.0,SCoT,0.015518869624093165,True
llama3.2_1b,accuracy,True,400,0.4175,0.0375,-0.38,-0.4325,-0.3275,-91.0179640718563,2.8287639054872155e-35,-0.8636363636363636,164.0,12.0,SCoT,1.6972583432923293e-34,True
mistral_7b,accuracy,True,400,0.455,0.2375,-0.2175,-0.275,-0.16,-47.8021978021978,5.591514238827385e-13,-0.5761589403973509,119.0,32.0,SCoT,1.6774542716482156e-12,True
openchat_7b,accuracy,True,400,0.5375,0.5625,0.025,-0.0275,0.075,4.651162790697675,0.4074855344889006,0.0847457627118644,54.0,64.0,MGCoT,0.4889826413866808,False
phi3_mini,accuracy,True,400,0.5725,0.465,-0.1075,-0.1625,-0.05,-18.777292576419214,0.0003001818565863546,-0.31386861313868614,90.0,47.0,SCoT,0.0006003637131727092,True
qwen2_1.5b,accuracy,True,400,0.45,0.4525,0.0025,-0.04,0.0475,0.5555555555555556,1.0,0.012048192771084338,41.0,42.0,MGCoT,1.0,False
gemma2_2b,answered,True,400,0.8275,0.8225,-0.005,-0.04,0.03,-0.6042296072507553,0.887724827340783,-0.04,26.0,24.0,SCoT,0.887724827340783,False
llama3.2_1b,answered,True,400,0.785,0.5725,-0.2125,-0.2575,-0.17,-27.070063694267514,1.7405890207623034e-19,-0.8415841584158416,93.0,8.0,SCoT,1.044353412457382e-18,True
mistral_7b,answered,True,400,0.8,0.825,0.025,-0.015,0.0625,3.125,0.26043547657665356,0.15625,27.0,37.0,MGCoT,0.49762464505423587,False
openchat_7b,answered,True,400,0.8225,0.83,0.0075,-0.0275,0.0425,0.9118541033434651,0.7797679305530743,0.058823529411764705,24.0,27.0,MGCoT,0.887724827340783,False
phi3_mini,answered,True,400,0.815,0.85,0.035,0.0025,0.0675,4.294478527607363,0.054076031858869555,0.30434782608695654,16.0,30.0,MGCoT,0.16222809557660867,False
