metric,cells,mgcot_better,scot_better,ties,sign_test_p
accuracy,48,16,30,2,0.054076032
semantic_similarity,48,18,30,0,0.111402891
bert_score_f1,48,32,16,0,0.029304947
rougeL_f1,48,34,13,1,0.003087676
token_f1,48,26,21,1,0.56006463
char_f1,48,32,16,0,0.029304947
output_words,48,36,12,0,0.00071727
truncated,48,16,26,6,0.164149402
delta_time_seconds,48,28,20,0,0.312326807
cpu_usage_avg_percent,48,14,34,0,0.005515201
gpu_usage_avg_percent,48,4,44,0,1.51E-09
gpu_memory_avg_mb,48,4,18,26,0.00434351
ram_usage_avg_mb,48,48,0,0,7.11E-15
target_error,48,24,24,0,1
answered,48,9,15,24,0.307456255
metric_leak,48,0,40,8,1.82E-12
