group,metric,higher_is_better,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,favours,p_fdr,significant
ALL,abs_err_Readability,False,2399,0.03890470025807326,0.041625697812278144,0.002720997554204893,0.0,0.007012378112285695,6.994007243739781,0.5,1.0,SCoT,0.5,False
ALL,abs_err_Coherence,False,2399,0.7561356186386677,0.6969182716089103,-0.0592173470297576,-0.06576457139363864,-0.05264040973521228,-7.831577506740311,3.3181120412129975e-47,-0.3429683630176814,MGCoT,3.3181120412129975e-47,True
ALL,abs_err_Relevance,False,2399,0.3845947680835293,0.375489269981,-0.009105498102529334,-0.013951561045674628,-0.004385558939687235,-2.3675564147434605,0.0006234010182512954,-0.08137988709713435,MGCoT,0.0006234010182512954,True
ALL,abs_err_Specificity,False,2399,0.31330665157784504,0.3870569060013912,0.07375025442354609,0.06480278333250038,0.08271553920050594,23.53931972147163,8.952470427088942e-49,0.3495071571801839,SCoT,8.952470427088942e-49,True
ALL,abs_err_Engagement,False,2399,0.16541499344207986,0.14784638092621216,-0.017568612515867672,-0.03037967447515834,-0.004414773921629712,-10.620931120140165,3.1242015955340132e-06,-0.13884642063390948,MGCoT,3.1242015955340132e-06,True
ALL,abs_err_Concise,False,2399,0.6685415271330739,0.6186603228192415,-0.04988120431383228,-0.05562815337919413,-0.04420915974518202,-7.4611975904831676,1.6033085706759413e-42,-0.32481317166670254,MGCoT,1.6033085706759413e-42,True
ALL,abs_err_Length,False,2399,0.21601504899920604,0.17288051042933003,-0.043134538569875994,-0.04753673492325887,-0.03885206313200388,-19.96830256489886,1.9327182540179972e-73,-0.4313784911439534,MGCoT,1.9327182540179972e-73,True
ALL,abs_err_Zipf,False,2399,0.3480718502108087,0.35202410431291326,0.00395225410210456,-0.0008616095426347794,0.009028375461472145,1.1354707655074343,0.01750631786297378,0.05633593953924707,SCoT,0.01750631786297378,True
ALL,abs_err_Hapax,False,2399,0.333295350655359,0.38783050632649985,0.05453515567114086,0.04366957844126405,0.06532318279807357,16.362411165924854,1.8687635291387224e-13,0.17516862248511814,SCoT,1.8687635291387224e-13,True
ALL,abs_err_Entropy,False,2399,0.8101725561384996,0.7745878176132263,-0.0355847385252732,-0.0443606088915569,-0.02675560833563026,-4.392241906450107,0.06855047186967614,-0.04318731894597665,MGCoT,0.06855047186967614,False
ALL,abs_err_Perplexity,False,2399,0.7769456124050501,0.7988062046579202,0.02186059225287005,0.00595162033803197,0.03749023775049328,2.8136579837551516,0.040022061685800595,0.04869193024481456,SCoT,0.040022061685800595,True
