model,mechanism,words,correct,seconds,words_per_correct,seconds_per_correct
gemma2_2b,MGCoT,30018,174.0,26785.68,172.52,153.94
gemma2_2b,SCoT,54190,200.0,45859.25,270.95,229.3
llama3.2_1b,MGCoT,61684,15.0,58241.93,4112.27,3882.8
llama3.2_1b,SCoT,61687,167.0,44826.64,369.38,268.42
mistral_7b,MGCoT,53023,95.0,53513.61,558.14,563.3
mistral_7b,SCoT,49894,182.0,42478.9,274.14,233.4
openchat_7b,MGCoT,30279,225.0,26475.38,134.57,117.67
openchat_7b,SCoT,49971,215.0,43687.45,232.42,203.2
phi3_mini,MGCoT,41636,186.0,42653.41,223.85,229.32
phi3_mini,SCoT,49692,229.0,44562.09,217.0,194.59
qwen2_1.5b,MGCoT,32314,181.0,25208.54,178.53,139.27
qwen2_1.5b,SCoT,39053,180.0,29283.02,216.96,162.68
