level,group,metric,n,scot,mgcot,delta,ci_low,ci_high,rel_change_pct,p,effect_rb,discordant_scot_only,discordant_mgcot_only,favours,p_fdr,significant,ill_posed_dataset
overall,ALL,accuracy,3000,0.406,0.2986666666666667,-0.10733333333333334,-0.12633333333333333,-0.08933333333333333,-26.436781609195403,3.9707814262149415e-30,-0.3955773955773956,568.0,246.0,SCoT,1.5287508490927523e-28,True,False
overall,ALL,semantic_similarity,3000,0.2670837494184016,0.23925880416469592,-0.027824945253705664,-0.03311753100805678,-0.022608733960724506,-10.418059995899016,7.764988633209688e-30,-0.24046004581030034,,,SCoT,2.8471624988435523e-28,True,False
overall,ALL,bert_score_f1,3000,0.77993961785237,0.7870731694102288,0.007133551557858785,0.005874512881040573,0.00832592300325632,0.9146286961933829,5.312015612412436e-32,0.24953200139083195,,,MGCoT,2.1527642218724084e-30,True,False
overall,ALL,rougeL_f1,3000,0.04868043241724297,0.06747245153205925,0.018792019114816278,0.015129315852504441,0.022562727763150235,38.60281879534005,0.011692014713883779,0.0597963792449909,,,MGCoT,0.019486691189806296,True,False
overall,ALL,token_f1,3000,0.0678569212524216,0.06843529292429089,0.0005783716718692891,-0.0019150762015835829,0.0030456467994956164,0.8523399841820098,0.002330453158931711,-0.07824821774902549,,,MGCoT,0.004303234849825941,True,False
overall,ALL,char_f1,3000,0.2893350456195127,0.3008390089390971,0.01150396331958446,0.008861550055957996,0.014257505965125481,3.976000658666368,0.00010956125437600129,0.08532636338701044,,,MGCoT,0.0002456415102872569,True,False
overall,ALL,output_words,3000,129.103,101.32466666666667,-27.778333333333332,-30.09969166666667,-25.414958333333335,-21.516411960476,6.646657647338885e-102,-0.45684746420106626,,,MGCoT,5.1179263884509415e-99,True,False
overall,ALL,truncated,3000,0.214,0.4076666666666667,0.19366666666666665,0.17266666666666666,0.21433333333333332,90.49844236760126,9.579097063692538e-72,0.5267452402538532,261.0,842.0,SCoT,1.8439761847608136e-69,True,False
overall,ALL,delta_time_seconds,3000,104.18047113333333,93.67552696666667,-10.504944166666668,-12.638673790833334,-8.470738851666669,-10.083410117451017,7.801883264360758e-14,-0.1575445962456959,,,MGCoT,6.749943947817735e-13,True,False
overall,ALL,target_error,2999,0.44449927770069386,0.44308465862551033,-0.0014146190751834497,-0.0050978153326365966,0.0020767503665582257,-0.31825002787428414,8.146491781108203e-06,0.09472577761528037,,,MGCoT,2.1336049902902435e-05,True,False
dataset,MultiArith,accuracy,300,0.88,0.5866666666666667,-0.29333333333333333,-0.3566666666666667,-0.23,-33.33333333333333,2.5388391153940443e-17,-0.7457627118644068,103.0,15.0,SCoT,4.654538378222415e-16,True,False
dataset,QASports,accuracy,300,0.15,0.06666666666666667,-0.08333333333333333,-0.13,-0.03666666666666667,-55.55555555555555,0.0008023308868949641,-0.4716981132075472,39.0,14.0,SCoT,0.0016005046189355502,True,True
dataset,SVAMP,accuracy,300,0.63,0.4266666666666667,-0.20333333333333334,-0.2633333333333333,-0.14333333333333334,-32.27513227513227,4.3940278290894227e-10,-0.6161616161616161,80.0,19.0,SCoT,2.2556009522659035e-09,True,False
dataset,StrategyQA,accuracy,300,0.2,0.18,-0.02,-0.08,0.04,-10.0,0.581114454176647,-0.07317073170731707,44.0,38.0,SCoT,0.665860312077408,False,False
dataset,aqua,accuracy,300,0.2833333333333333,0.2966666666666667,0.013333333333333334,-0.043333333333333335,0.07,4.7058823529411775,0.7310088822226056,0.05263157894736842,36.0,40.0,MGCoT,0.8110617281144183,False,False
dataset,asdiv,accuracy,300,0.84,0.48333333333333334,-0.3566666666666667,-0.42,-0.29333333333333333,-42.46031746031747,1.9751293229358004e-22,-0.7925925925925926,121.0,14.0,SCoT,4.75265493331427e-21,True,False
dataset,clutrr,accuracy,300,0.37666666666666665,0.3466666666666667,-0.03,-0.09666666666666666,0.03666666666666667,-7.964601769911504,0.4261600154669939,-0.0891089108910891,55.0,46.0,SCoT,0.5143310531498202,False,False
dataset,date,accuracy,300,0.25666666666666665,0.24333333333333335,-0.013333333333333334,-0.06333333333333334,0.03666666666666667,-5.194805194805196,0.6888797607233395,-0.07142857142857142,30.0,26.0,SCoT,0.7698656251915404,False,False
dataset,gsm8k,accuracy,300,0.44333333333333336,0.3566666666666667,-0.08666666666666667,-0.15,-0.023333333333333334,-19.54887218045113,0.009547810466077417,-0.2765957446808511,60.0,34.0,SCoT,0.01607635210765117,True,False
dataset,saycan,accuracy,300,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,1.0,False,True
dataset,MultiArith,semantic_similarity,300,0.16205580347838502,0.13713372438602767,-0.02492207909235731,-0.03122688324811558,-0.01865994032513117,-15.37870200105571,2.0063230622169627e-13,-0.4903010033444816,,,SCoT,1.5763966917418992e-12,True,False
