model,dataset,set,metric,scot_mean,scot_std,mgcot_mean,mgcot_std,winner
deepseek-r1_8b,MultiArith,hardware,delta_time_seconds,153.799,1.4517,155.8498,0.8914,SCoT
deepseek-r1_8b,MultiArith,hardware,cpu_usage_avg_percent,38.7727,5.5722,42.0326,6.7463,SCoT
deepseek-r1_8b,MultiArith,hardware,ram_usage_avg_mb,14553.4931,479.8874,14487.4605,473.8472,MGCoT
deepseek-r1_8b,MultiArith,hardware,ram_usage_avg_percent,89.7135,2.9585,89.3063,2.921,MGCoT
deepseek-r1_8b,MultiArith,hardware,gpu_usage_avg_percent,11.8664,0.2777,12.2118,0.3047,SCoT
deepseek-r1_8b,MultiArith,hardware,gpu_memory_avg_mb,3290.0552,487.9802,3311.0056,479.6939,SCoT
deepseek-r1_8b,MultiArith,performance,rouge1_f1,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,MultiArith,performance,rouge2_f1,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,MultiArith,performance,rougeL_f1,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,MultiArith,performance,bleu,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,MultiArith,performance,exact_match,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,MultiArith,performance,token_precision,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,MultiArith,performance,token_recall,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,MultiArith,performance,token_f1,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,MultiArith,performance,token_overlap_count,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,MultiArith,performance,normalized_edit_distance,0.0012,0.0083,0.0,0.0,MGCoT
deepseek-r1_8b,MultiArith,performance,char_f1,0.0036,0.0257,0.0,0.0,SCoT
deepseek-r1_8b,MultiArith,performance,bert_score_f1,0.0158,0.1117,0.0,0.0,SCoT
deepseek-r1_8b,MultiArith,performance,semantic_similarity,0.0026,0.0183,0.0,0.0,SCoT
deepseek-r1_8b,QASports,hardware,delta_time_seconds,153.3356,1.4856,155.2043,1.0296,SCoT
deepseek-r1_8b,QASports,hardware,cpu_usage_avg_percent,36.5672,7.4784,37.7834,8.2827,SCoT
deepseek-r1_8b,QASports,hardware,ram_usage_avg_mb,13672.1033,1442.4756,13568.2038,1489.751,MGCoT
deepseek-r1_8b,QASports,hardware,ram_usage_avg_percent,84.2803,8.8934,83.641,9.1822,MGCoT
deepseek-r1_8b,QASports,hardware,gpu_usage_avg_percent,13.4222,3.4577,13.6478,3.4223,SCoT
deepseek-r1_8b,QASports,hardware,gpu_memory_avg_mb,2758.1308,273.3822,2759.0562,283.8362,SCoT
deepseek-r1_8b,QASports,performance,rouge1_f1,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,QASports,performance,rouge2_f1,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,QASports,performance,rougeL_f1,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,QASports,performance,bleu,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,QASports,performance,exact_match,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,QASports,performance,token_precision,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,QASports,performance,token_recall,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,QASports,performance,token_f1,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,QASports,performance,token_overlap_count,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,QASports,performance,normalized_edit_distance,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,QASports,performance,char_f1,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,QASports,performance,bert_score_f1,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,QASports,performance,semantic_similarity,0.0,0.0,0.0,0.0,tie
deepseek-r1_8b,SVAMP,hardware,delta_time_seconds,153.6103,0.2972,155.5942,0.4966,SCoT
deepseek-r1_8b,SVAMP,hardware,cpu_usage_avg_percent,26.8385,0.5505,28.414,0.9949,SCoT
deepseek-r1_8b,SVAMP,hardware,ram_usage_avg_mb,14580.4276,574.0563,14495.259,525.745,MGCoT
