model,mechanism,dataset,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_precision,token_recall,token_f1,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity,accuracy
deepseek-r1_8b,MGCoT,MultiArith,155.85,42.033,14487.46,89.306,12.212,3311.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,MGCoT,QASports,155.204,37.783,13568.204,83.641,13.648,2759.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,MGCoT,SVAMP,155.594,28.414,14495.259,89.354,11.85,4038.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,MGCoT,StrategyQA,155.157,29.32,14386.695,88.685,11.897,2845.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.016,0.001,0.0
deepseek-r1_8b,MGCoT,aqua,156.319,39.039,13929.215,85.865,12.161,3894.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,MGCoT,asdiv,153.123,28.028,13219.564,81.49,11.844,3908.606,0.003,0.0,0.003,0.0,0.0,0.002,0.04,0.004,0.04,0.001,0.005,0.065,0.02,0.06
deepseek-r1_8b,MGCoT,clutrr,154.117,28.158,13815.004,85.162,11.895,3908.766,0.021,0.0,0.021,0.0,0.0,0.014,0.033,0.02,0.1,0.029,0.07,0.085,0.03,0.1
deepseek-r1_8b,MGCoT,date,153.559,28.063,13891.694,85.634,11.781,3908.766,0.08,0.08,0.08,0.0,0.0,0.08,0.04,0.053,0.08,0.053,0.067,0.077,0.068,0.08
deepseek-r1_8b,MGCoT,gsm8k,155.859,28.554,14787.168,91.154,11.877,3908.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,MGCoT,saycan,154.991,27.979,13151.252,81.069,11.855,2720.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
