model,mechanism,dataset,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_precision,token_recall,token_f1,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity,accuracy
deepseek-r1_8b,MGCoT,MultiArith,0.891,6.746,473.847,2.921,0.305,479.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,MGCoT,QASports,1.03,8.283,1489.751,9.182,3.422,283.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,MGCoT,SVAMP,0.497,0.995,525.745,3.241,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,MGCoT,StrategyQA,0.076,5.426,512.558,3.158,0.168,201.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.04,0.113,0.005,0.0
deepseek-r1_8b,MGCoT,aqua,1.036,6.412,1042.349,6.427,0.338,0.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,MGCoT,asdiv,9.308,0.477,758.001,4.673,0.184,0.548,0.017,0.0,0.017,0.0,0.0,0.01,0.198,0.019,0.198,0.005,0.02,0.224,0.071,0.24
deepseek-r1_8b,MGCoT,clutrr,6.166,1.018,552.356,3.405,0.12,0.0,0.065,0.0,0.065,0.0,0.0,0.043,0.101,0.06,0.303,0.089,0.211,0.258,0.091,0.303
deepseek-r1_8b,MGCoT,date,6.604,0.657,207.304,1.278,0.238,0.003,0.274,0.274,0.274,0.0,0.0,0.274,0.137,0.183,0.274,0.183,0.228,0.264,0.233,0.274
deepseek-r1_8b,MGCoT,gsm8k,0.387,2.572,444.171,2.738,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,MGCoT,saycan,0.67,0.648,605.411,3.731,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,SCoT,MultiArith,1.452,5.572,479.887,2.958,0.278,487.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.026,0.112,0.018,0.0
deepseek-r1_8b,SCoT,QASports,1.486,7.478,1442.476,8.893,3.458,273.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,SCoT,SVAMP,0.297,0.551,574.056,3.539,0.135,28.284,0.047,0.0,0.047,0.0,0.0,0.02,0.071,0.031,0.141,0.009,0.031,0.156,0.046,0.141
deepseek-r1_8b,SCoT,StrategyQA,0.089,4.739,493.487,3.042,0.125,201.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,SCoT,aqua,6.593,5.122,1048.486,6.463,0.279,1.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,SCoT,asdiv,0.14,0.405,763.021,4.703,0.14,0.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301,0.085,0.0
deepseek-r1_8b,SCoT,clutrr,0.253,0.413,491.366,3.03,0.099,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,SCoT,date,0.696,0.677,174.573,1.077,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,SCoT,gsm8k,0.328,1.185,459.199,2.831,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,SCoT,saycan,0.132,0.477,624.224,3.848,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma2_2b,MGCoT,MultiArith,40.537,0.451,154.854,0.952,1.394,0.0,0.028,0.0,0.028,0.0,0.0,0.014,0.152,0.026,0.303,0.007,0.031,0.014,0.053,0.418
gemma2_2b,MGCoT,QASports,37.796,1.418,360.911,2.221,5.378,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.021,0.047,0.198
gemma2_2b,MGCoT,SVAMP,36.684,1.042,290.48,1.792,2.472,0.0,0.032,0.0,0.032,0.0,0.0,0.017,0.253,0.031,0.505,0.011,0.045,0.014,0.067,0.501
gemma2_2b,MGCoT,StrategyQA,42.245,2.347,883.132,5.445,0.723,0.0,0.002,0.0,0.002,0.0,0.0,0.002,0.141,0.004,0.141,0.003,0.033,0.012,0.059,0.303
gemma2_2b,MGCoT,aqua,31.181,2.292,441.828,2.724,0.469,2.078,0.011,0.0,0.011,0.0,0.0,0.009,0.499,0.017,0.499,0.001,0.008,0.012,0.056,0.418
gemma2_2b,MGCoT,asdiv,45.246,5.025,1530.605,9.436,5.52,0.0,0.074,0.0,0.074,0.0,0.0,0.031,0.431,0.057,0.431,0.013,0.049,0.018,0.09,0.471
gemma2_2b,MGCoT,clutrr,12.043,1.052,147.244,0.904,5.824,0.0,0.087,0.024,0.082,0.0,0.0,0.066,0.168,0.094,0.505,0.096,0.059,0.014,0.052,0.499
gemma2_2b,MGCoT,date,21.317,0.435,75.785,0.467,5.436,0.0,0.199,0.199,0.199,0.0,0.0,0.062,0.185,0.088,0.37,0.129,0.164,0.046,0.138,0.443
gemma2_2b,MGCoT,gsm8k,34.184,0.542,730.273,4.5,0.796,0.548,0.111,0.099,0.094,0.054,0.0,0.132,0.114,0.101,5.219,0.064,0.043,0.022,0.106,0.505
gemma2_2b,MGCoT,saycan,29.146,0.579,380.951,2.349,3.769,0.0,0.046,0.017,0.044,0.0,0.0,0.094,0.075,0.07,1.841,0.045,0.054,0.019,0.131,0.0
gemma2_2b,SCoT,MultiArith,14.225,0.301,150.189,0.927,0.178,0.004,0.004,0.0,0.004,0.0,0.0,0.003,0.071,0.006,0.141,0.001,0.021,0.007,0.05,0.141
gemma2_2b,SCoT,QASports,22.456,1.122,360.462,2.222,0.183,0.0,0.006,0.0,0.006,0.0,0.0,0.006,0.485,0.012,0.485,0.001,0.025,0.016,0.037,0.303
gemma2_2b,SCoT,SVAMP,23.519,0.377,250.38,1.544,0.188,0.0,0.008,0.0,0.008,0.0,0.0,0.008,0.227,0.016,0.454,0.002,0.031,0.009,0.053,0.495
gemma2_2b,SCoT,StrategyQA,11.237,1.856,853.033,5.261,0.087,0.0,0.002,0.0,0.002,0.0,0.0,0.002,0.141,0.004,0.141,0.001,0.022,0.006,0.06,0.388
gemma2_2b,SCoT,aqua,17.558,2.27,525.057,3.236,0.147,154.667,0.007,0.0,0.007,0.0,0.0,0.007,0.505,0.014,0.505,0.001,0.002,0.01,0.058,0.443
gemma2_2b,SCoT,asdiv,16.8,3.601,1505.077,9.276,0.205,28.85,0.007,0.0,0.007,0.0,0.0,0.007,0.328,0.014,0.328,0.001,0.028,0.009,0.07,0.37
gemma2_2b,SCoT,clutrr,19.021,0.348,148.796,0.921,0.203,0.0,0.017,0.0,0.016,0.0,0.0,0.011,0.207,0.021,0.622,0.009,0.028,0.007,0.056,0.454
gemma2_2b,SCoT,date,12.706,0.226,66.728,0.413,0.136,0.0,0.019,0.021,0.019,0.0,0.0,0.011,0.249,0.02,0.499,0.004,0.037,0.013,0.089,0.495
gemma2_2b,SCoT,gsm8k,20.106,0.232,730.633,4.503,0.143,0.606,0.076,0.068,0.055,0.036,0.0,0.077,0.095,0.072,5.347,0.051,0.056,0.013,0.068,0.499
gemma2_2b,SCoT,saycan,22.552,0.523,388.585,2.396,0.159,0.0,0.055,0.016,0.04,0.0,0.0,0.033,0.079,0.041,2.09,0.05,0.047,0.011,0.116,0.0
llama3.2_1b,MGCoT,MultiArith,0.055,0.342,102.292,0.632,0.053,0.0,0.004,0.0,0.004,0.0,0.0,0.003,0.137,0.006,0.274,0.001,0.029,0.007,0.026,0.141
llama3.2_1b,MGCoT,QASports,57.28,0.948,56.858,0.351,3.218,0.0,0.006,0.0,0.006,0.0,0.0,0.002,0.198,0.004,0.198,0.001,0.021,0.018,0.06,0.0
llama3.2_1b,MGCoT,SVAMP,0.06,0.282,144.488,0.89,0.06,0.0,0.006,0.0,0.006,0.0,0.0,0.005,0.222,0.009,0.443,0.001,0.028,0.008,0.027,0.141
llama3.2_1b,MGCoT,StrategyQA,60.731,0.444,151.764,0.935,3.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.064,0.023,0.05,0.24
llama3.2_1b,MGCoT,aqua,25.253,0.418,325.675,2.008,0.852,0.0,0.012,0.0,0.012,0.0,0.0,0.007,0.431,0.014,0.431,0.001,0.006,0.012,0.031,0.198
llama3.2_1b,MGCoT,asdiv,0.058,0.602,513.223,3.164,0.061,0.0,0.004,0.0,0.004,0.0,0.0,0.003,0.303,0.007,0.303,0.001,0.031,0.007,0.05,0.141
llama3.2_1b,MGCoT,clutrr,27.132,0.254,83.325,0.515,1.154,0.0,0.005,0.0,0.005,0.0,0.0,0.002,0.066,0.004,0.198,0.019,0.039,0.01,0.044,0.24
llama3.2_1b,MGCoT,date,19.982,3.874,598.48,3.69,1.299,0.073,0.01,0.006,0.01,0.0,0.0,0.003,0.12,0.005,0.24,0.002,0.04,0.022,0.072,0.198
llama3.2_1b,MGCoT,gsm8k,0.112,4.184,2689.277,16.577,0.059,0.0,0.083,0.034,0.045,0.012,0.0,0.057,0.105,0.07,5.73,0.047,0.062,0.014,0.14,0.141
llama3.2_1b,MGCoT,saycan,66.915,1.501,148.494,0.919,6.914,0.0,0.04,0.015,0.035,0.0,0.0,0.048,0.086,0.037,2.195,0.054,0.086,0.019,0.121,0.0
llama3.2_1b,SCoT,MultiArith,20.002,0.365,100.993,0.622,0.182,0.0,0.007,0.0,0.007,0.0,0.0,0.006,0.175,0.012,0.351,0.001,0.024,0.009,0.058,0.418
llama3.2_1b,SCoT,QASports,24.058,0.202,48.99,0.302,0.144,0.0,0.005,0.0,0.005,0.0,0.0,0.005,0.443,0.01,0.443,0.0,0.025,0.014,0.054,0.485
llama3.2_1b,SCoT,SVAMP,27.903,0.374,154.683,0.954,0.211,0.0,0.007,0.0,0.007,0.0,0.0,0.008,0.231,0.016,0.463,0.002,0.033,0.008,0.056,0.501
llama3.2_1b,SCoT,StrategyQA,10.231,0.474,149.04,0.919,0.09,0.0,0.002,0.0,0.002,0.0,0.0,0.002,0.141,0.005,0.141,0.001,0.023,0.005,0.059,0.351
llama3.2_1b,SCoT,aqua,16.147,0.506,332.558,2.051,0.141,0.283,0.005,0.0,0.005,0.0,0.0,0.006,0.463,0.011,0.463,0.001,0.003,0.01,0.06,0.198
llama3.2_1b,SCoT,asdiv,16.432,0.465,513.766,3.166,0.199,0.001,0.004,0.0,0.004,0.0,0.0,0.004,0.141,0.008,0.141,0.001,0.024,0.008,0.058,0.388
