record_id,dataset,start_time,end_time,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,pred_token_count,ref_token_count,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_f1,token_precision,token_recall,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity
1,MultiArith,2025-10-21 10:46:07,2025-10-21 10:48:43,155.8707,0.0,0.0,0.0,,,33,2,0.046511627906976744,0.0,0.046511627906976744,6.995501686664742e-232,0.0,0.05714285714285715,0.030303030303030304,0.5,1,0.013698630136986356,0.16216216216216214,0.7813393473625183,0.2522542178630829
2,MultiArith,2025-10-21 10:48:43,2025-10-21 10:52:08,205.2203,0.0,0.0,0.0,,,51,2,0.03389830508474576,0.0,0.03389830508474576,0.0,0.0,0.03773584905660377,0.0196078431372549,0.5,1,0.006734006734006703,0.1,0.7730850577354431,0.11475086212158203
3,MultiArith,2025-10-21 10:52:08,2025-10-21 10:54:30,141.7461,0.0,0.0,0.0,,,44,2,0.04166666666666667,0.0,0.04166666666666667,6.851187014592609e-232,0.0,0.04347826086956522,0.022727272727272728,0.5,1,0.008810572687224627,0.1176470588235294,0.7745750546455383,0.1175868958234787
4,MultiArith,2025-10-21 10:54:30,2025-10-21 10:58:46,256.1057,0.0,0.0,0.0,,,68,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0035460992907800915,0.0975609756097561,0.7655656337738037,0.13820086419582367
5,MultiArith,2025-10-21 10:58:46,2025-10-21 11:02:28,221.7581,0.0,0.0,0.0,,,48,2,0.02531645569620253,0.0,0.02531645569620253,6.017810420952586e-232,0.0,0.039999999999999994,0.020833333333333332,0.5,1,0.004524886877828038,0.10526315789473684,0.771132230758667,0.04006832465529442
6,MultiArith,2025-10-21 11:02:28,2025-10-21 11:07:18,289.7473,0.0,0.0,0.0,,,48,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.002049180327868827,0.05,0.7682758569717407,0.08444231748580933
7,MultiArith,2025-10-21 11:07:18,2025-10-21 11:10:00,162.0605,0.0,0.0,0.0,,,43,2,0.03773584905660378,0.0,0.03773584905660378,0.0,0.0,0.04444444444444444,0.023255813953488372,0.5,1,0.011363636363636354,0.14285714285714285,0.776155948638916,0.1482388973236084
8,MultiArith,2025-10-21 11:10:00,2025-10-21 11:13:27,207.4868,0.0,0.0,0.0,,,53,2,0.031746031746031744,0.0,0.031746031746031744,6.3917876705550364e-232,0.0,0.03636363636363636,0.018867924528301886,0.5,1,0.00588235294117645,0.09756097560975609,0.7844759821891785,0.082329161465168
9,MultiArith,2025-10-21 11:13:27,2025-10-21 11:15:25,117.7631,0.0,0.0,0.0,,,32,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.017751479289940808,0.10256410256410256,0.7720795273780823,0.1279272437095642
10,MultiArith,2025-10-21 11:15:25,2025-10-21 11:19:34,248.6098,0.0,0.0,0.0,,,43,2,0.026666666666666665,0.0,0.026666666666666665,6.072773298151499e-232,0.0,0.04444444444444444,0.023255813953488372,0.5,1,0.005141388174807249,0.1111111111111111,0.7616826891899109,0.07633001357316971
11,MultiArith,2025-10-21 11:19:34,2025-10-21 11:23:30,236.7076,0.0,0.0,0.0,,,46,2,0.02531645569620253,0.0,0.02531645569620253,6.054173467777274e-232,0.0,0.041666666666666664,0.021739130434782608,0.5,1,0.006976744186046546,0.10256410256410256,0.7770591378211975,0.12161310762166977
12,MultiArith,2025-10-21 11:23:30,2025-10-21 11:28:01,270.5174,0.0,0.0,0.0,,,44,2,0.025974025974025976,0.0,0.025974025974025976,5.9825138229219476e-232,0.0,0.04347826086956522,0.022727272727272728,0.5,1,0.004464285714285698,0.11428571428571428,0.7647734880447388,0.08483130484819412
13,MultiArith,2025-10-21 11:28:01,2025-10-21 11:30:08,126.5794,0.0,0.0,0.0,,,30,2,0.07407407407407407,0.0,0.07407407407407407,7.784451369270533e-232,0.0,0.0625,0.03333333333333333,0.5,1,0.020270270270270285,0.10526315789473684,0.7886410355567932,0.20532676577568054
14,MultiArith,2025-10-21 11:30:08,2025-10-21 11:33:31,203.6608,0.0,0.0,0.0,,,47,2,0.025974025974025976,0.0,0.025974025974025976,6.091662401187491e-232,0.0,0.04081632653061224,0.02127659574468085,0.5,1,0.0046948356807511304,0.10526315789473684,0.7673068642616272,0.01687334105372429
15,MultiArith,2025-10-21 11:33:31,2025-10-21 11:37:12,221.2119,0.0,0.0,0.0,,,58,2,0.022727272727272724,0.0,0.022727272727272724,5.898586811762746e-232,0.0,0.03333333333333333,0.017241379310344827,0.5,1,0.0060975609756097615,0.15,0.7724496126174927,0.14718569815158844
16,MultiArith,2025-10-21 11:37:12,2025-10-21 11:39:03,110.9036,0.0,0.0,0.0,,,42,2,0.04166666666666667,0.0,0.04166666666666667,6.817352958349419e-232,0.0,0.04545454545454545,0.023809523809523808,0.5,1,0.008032128514056214,0.1111111111111111,0.7846031785011292,0.05772806331515312
17,MultiArith,2025-10-21 11:39:03,2025-10-21 11:42:00,176.5954,0.0,0.0,0.0,,,50,2,0.03125,0.0,0.03125,6.4162308992004585e-232,0.0,0.038461538461538464,0.02,0.5,1,0.0092592592592593,0.15,0.7825127243995667,0.11588034778833389
18,MultiArith,2025-10-21 11:42:00,2025-10-21 11:43:58,117.5865,0.0,0.0,0.0,,,36,2,0.038461538461538464,0.0,0.038461538461538464,6.689869579535845e-232,0.0,0.05263157894736842,0.027777777777777776,0.5,1,0.01195219123505975,0.16666666666666666,0.7764765620231628,0.1621795892715454
19,MultiArith,2025-10-21 11:43:58,2025-10-21 11:45:38,100.1011,0.0,0.0,0.0,,,30,2,0.07142857142857142,0.0,0.07142857142857142,7.720899511627474e-232,0.0,0.0625,0.03333333333333333,0.5,1,0.021276595744680882,0.15384615384615383,0.789364218711853,0.19976064562797546
20,MultiArith,2025-10-21 11:45:38,2025-10-21 11:49:36,238.3907,0.0,0.0,0.0,,,48,2,0.02380952380952381,0.0,0.02380952380952381,6.0358550325078056e-232,0.0,0.039999999999999994,0.020833333333333332,0.5,1,0.0071428571428571175,0.14634146341463414,0.7742772102355957,0.15855199098587036
21,MultiArith,2025-10-21 11:49:36,2025-10-21 11:51:22,105.4959,0.0,0.0,0.0,,,33,2,0.05405405405405406,0.0,0.05405405405405406,7.244248269687037e-232,0.0,0.05714285714285715,0.030303030303030304,0.5,1,0.010204081632653073,0.1111111111111111,0.802025318145752,0.08939198404550552
22,MultiArith,2025-10-21 11:51:22,2025-10-21 11:54:56,214.9057,0.0,0.0,0.0,,,60,2,0.02469135802469136,0.0,0.02469135802469136,0.0,0.0,0.03225806451612903,0.016666666666666666,0.5,1,0.006928406466512715,0.1276595744680851,0.7677758932113647,0.20261450111865997
23,MultiArith,2025-10-21 11:54:56,2025-10-21 11:58:12,195.797,0.0,0.0,0.0,,,57,2,0.023255813953488372,0.0,0.023255813953488372,5.948228664567313e-232,0.0,0.033898305084745756,0.017543859649122806,0.5,1,0.004842615012106588,0.09756097560975609,0.7740300893783569,0.10991372168064117
24,MultiArith,2025-10-21 11:58:12,2025-10-21 12:00:46,153.312,0.0,0.0,0.0,,,46,2,0.03636363636363636,0.0,0.03636363636363636,0.0,0.0,0.041666666666666664,0.021739130434782608,0.5,1,0.010452961672473893,0.15384615384615383,0.7770663499832153,0.16965420544147491
25,MultiArith,2025-10-21 12:00:46,2025-10-21 12:04:03,197.4795,0.0,0.0,0.0,,,58,2,0.02857142857142857,0.0,0.02857142857142857,6.298451848768724e-232,0.0,0.03333333333333333,0.017241379310344827,0.5,1,0.007058823529411784,0.0909090909090909,0.7755571603775024,0.11917739361524582
26,MultiArith,2025-10-21 12:04:03,2025-10-21 12:07:50,227.1335,0.0,0.0,0.0,,,46,2,0.024999999999999998,0.0,0.024999999999999998,6.0358550325078056e-232,0.0,0.041666666666666664,0.021739130434782608,0.5,1,0.006976744186046546,0.15789473684210525,0.7706950306892395,0.1528530716896057
27,MultiArith,2025-10-21 12:07:50,2025-10-21 12:09:44,113.9225,0.0,0.0,0.0,,,34,2,0.052631578947368425,0.0,0.052631578947368425,7.199666163340923e-232,0.0,0.05555555555555555,0.029411764705882353,0.5,1,0.015957446808510634,0.16216216216216214,0.7712670564651489,0.21898424625396729
28,MultiArith,2025-10-21 12:09:44,2025-10-21 12:13:23,218.8373,0.0,0.0,0.0,,,50,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.004784688995215336,0.09523809523809525,0.7610810399055481,0.17976665496826172
