record_id,dataset,start_time,end_time,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,pred_token_count,ref_token_count,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_f1,token_precision,token_recall,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity
1,sports,2025-10-21 21:23:05,2025-10-21 21:27:11,245.5423,0.0,0.0,0.0,,,94,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0337417796254158
2,sports,2025-10-21 21:27:11,2025-10-21 21:34:39,447.8516,0.0,0.0,0.0,,,96,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05617678165435791
3,sports,2025-10-21 21:34:39,2025-10-21 21:40:10,331.3202,0.0,0.0,0.0,,,69,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.06418804824352264
4,sports,2025-10-21 21:40:10,2025-10-21 21:47:26,436.3891,0.0,0.0,0.0,,,91,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03824951499700546
5,sports,2025-10-21 21:47:26,2025-10-21 21:51:35,248.087,0.0,0.0,0.0,,,71,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05373534560203552
6,sports,2025-10-21 21:51:35,2025-10-21 21:57:01,326.441,0.0,0.0,0.0,,,88,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.06383327394723892
7,sports,2025-10-21 21:57:01,2025-10-21 22:01:19,258.4063,0.0,0.0,0.0,,,101,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.04095336049795151
8,sports,2025-10-21 22:01:19,2025-10-21 22:05:32,252.9225,0.0,0.0,0.0,,,80,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0860859826207161
9,sports,2025-10-21 22:05:32,2025-10-21 22:09:51,258.9356,0.0,0.0,0.0,,,71,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.10647579282522202
10,sports,2025-10-21 22:09:51,2025-10-21 22:16:16,384.6515,0.0,0.0,0.0,,,95,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.02725379914045334
11,sports,2025-10-21 22:16:16,2025-10-21 22:22:27,371.3325,0.0,0.0,0.0,,,99,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.012293105013668537
12,sports,2025-10-21 22:22:27,2025-10-21 22:28:31,363.1522,0.0,0.0,0.0,,,79,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.008863491006195545
13,sports,2025-10-21 22:28:31,2025-10-21 22:34:21,350.6827,0.0,0.0,0.0,,,94,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09893542528152466
14,sports,2025-10-21 22:34:21,2025-10-21 22:40:34,372.7748,0.0,0.0,0.0,,,82,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.06951254606246948
15,sports,2025-10-21 22:40:35,2025-10-21 22:55:48,912.9914,0.0,0.0,0.0,,,90,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.04365069046616554
16,sports,2025-10-21 22:55:48,2025-10-21 23:02:27,399.3297,0.0,0.0,0.0,,,85,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.12831252813339233
17,sports,2025-10-21 23:02:27,2025-10-21 23:06:22,234.8617,0.0,0.0,0.0,,,73,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0724562555551529
18,sports,2025-10-21 23:06:22,2025-10-21 23:08:24,121.7786,0.0,0.0,0.0,,,46,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.051506407558918
19,sports,2025-10-21 23:08:24,2025-10-21 23:13:14,290.4389,0.0,0.0,0.0,,,87,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0747024342417717
20,sports,2025-10-21 23:13:14,2025-10-21 23:18:24,309.6634,0.0,0.0,0.0,,,63,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09465856850147247
21,sports,2025-10-21 23:18:24,2025-10-21 23:23:55,331.1114,0.0,0.0,0.0,,,102,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.023297758772969246
22,sports,2025-10-21 23:23:55,2025-10-21 23:29:33,338.1889,0.0,0.0,0.0,,,65,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.17834563553333282
23,sports,2025-10-21 23:29:34,2025-10-21 23:36:39,425.6739,0.0,0.0,0.0,,,79,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.03499734774231911
24,sports,2025-10-21 23:36:39,2025-10-21 23:47:46,666.3368,0.0,0.0,0.0,,,87,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.017304634675383568
25,sports,2025-10-21 23:47:46,2025-10-21 23:51:46,240.4252,0.0,0.0,0.0,,,63,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1186581626534462
26,sports,2025-10-21 23:51:46,2025-10-21 23:56:26,279.8315,0.0,0.0,0.0,,,74,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03141819313168526
27,sports,2025-10-21 23:56:26,2025-10-22 00:02:06,340.4945,0.0,0.0,0.0,,,70,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.027206026017665863
28,sports,2025-10-22 00:02:07,2025-10-22 00:07:39,332.848,0.0,0.0,0.0,,,65,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1141280010342598
29,sports,2025-10-22 00:07:39,2025-10-22 00:10:37,177.4437,0.0,0.0,0.0,,,47,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.017185863107442856
30,sports,2025-10-22 00:10:37,2025-10-22 00:14:29,231.7986,0.0,0.0,0.0,,,46,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0847824290394783
31,sports,2025-10-22 00:14:29,2025-10-22 00:36:02,1293.5495,0.0,0.0,0.0,,,88,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07379112392663956
32,sports,2025-10-22 00:36:03,2025-10-22 00:40:25,261.9782,0.0,0.0,0.0,,,74,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0891161561012268
