record_id,dataset,start_time,end_time,delta_time_seconds,cpu_usage_avg_percent,ram_usage_avg_mb,ram_usage_avg_percent,gpu_usage_avg_percent,gpu_memory_avg_mb,pred_token_count,ref_token_count,rouge1_f1,rouge2_f1,rougeL_f1,bleu,exact_match,token_f1,token_precision,token_recall,token_overlap_count,normalized_edit_distance,char_f1,bert_score_f1,semantic_similarity
1,StrategyQA,2025-10-21 17:44:10,2025-10-21 17:47:47,216.8265,0.0,0.0,0.0,,,67,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.05334119871258736
2,StrategyQA,2025-10-21 17:47:47,2025-10-21 17:52:19,271.3732,0.0,0.0,0.0,,,86,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.01451832614839077
3,StrategyQA,2025-10-21 17:52:19,2025-10-21 17:56:22,243.462,0.0,0.0,0.0,,,85,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.021685538813471794
4,StrategyQA,2025-10-21 17:56:22,2025-10-21 18:01:48,326.263,0.0,0.0,0.0,,,92,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.008399374783039093
5,StrategyQA,2025-10-21 18:01:48,2025-10-21 18:06:44,295.9089,0.0,0.0,0.0,,,88,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.03604775667190552
6,StrategyQA,2025-10-21 18:06:44,2025-10-21 18:11:28,284.0101,0.0,0.0,0.0,,,89,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00942864827811718
7,StrategyQA,2025-10-21 18:11:28,2025-10-21 18:14:28,179.8707,0.0,0.0,0.0,,,69,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.019906284287571907
8,StrategyQA,2025-10-21 18:14:28,2025-10-21 18:19:10,281.5955,0.0,0.0,0.0,,,84,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.039647072553634644
9,StrategyQA,2025-10-21 18:19:10,2025-10-21 18:23:39,269.0921,0.0,0.0,0.0,,,102,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.04460417479276657
10,StrategyQA,2025-10-21 18:23:39,2025-10-21 18:28:06,267.46,0.0,0.0,0.0,,,78,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.04912590980529785
11,StrategyQA,2025-10-21 18:28:06,2025-10-21 18:33:24,317.8172,0.0,0.0,0.0,,,88,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.09138956665992737
12,StrategyQA,2025-10-21 18:33:24,2025-10-21 18:36:21,176.8659,0.0,0.0,0.0,,,54,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.007952132262289524
13,StrategyQA,2025-10-21 18:36:21,2025-10-21 18:42:56,394.4507,0.0,0.0,0.0,,,81,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.07589774578809738
14,StrategyQA,2025-10-21 18:42:56,2025-10-21 18:47:50,294.7218,0.0,0.0,0.0,,,92,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.06752170622348785
15,StrategyQA,2025-10-21 18:47:50,2025-10-21 18:50:40,170.0381,0.0,0.0,0.0,,,58,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0001476826291764155
16,StrategyQA,2025-10-21 18:50:40,2025-10-21 18:55:14,274.1506,0.0,0.0,0.0,,,93,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.061867497861385345
17,StrategyQA,2025-10-21 18:55:15,2025-10-21 18:58:03,168.6328,0.0,0.0,0.0,,,44,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.003945085220038891
18,StrategyQA,2025-10-21 18:58:03,2025-10-21 19:02:10,246.6539,0.0,0.0,0.0,,,94,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0638994500041008
19,StrategyQA,2025-10-21 19:02:10,2025-10-21 19:04:22,131.904,0.0,0.0,0.0,,,50,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.015557968989014626
20,StrategyQA,2025-10-21 19:04:22,2025-10-21 19:08:28,245.8704,0.0,0.0,0.0,,,84,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.01129173208028078
21,StrategyQA,2025-10-21 19:08:28,2025-10-21 19:12:33,245.7401,0.0,0.0,0.0,,,77,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.023097719997167587
22,StrategyQA,2025-10-21 19:12:33,2025-10-21 19:16:38,244.7251,0.0,0.0,0.0,,,85,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.04645424708724022
